id,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonRemarks,language
gbif.org/species/10358889,gbif.org/species/10358889,Megaleporinus muyscorum,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Megaleporinus,muyscorum,,Especie,"(Steindachner, 1900)",,es
gbif.org/species/2355385,gbif.org/species/2355385,Leporinus striatus,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Leporinus,striatus,,Especie,"Kner, 1858",,es
gbif.org/species/2353526,gbif.org/species/2353526,Brycon moorei,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,moorei,,Especie,"Steindachner, 1878",,es
gbif.org/species/2353166,gbif.org/species/2353166,Argopleura magdalenensis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Argopleura,magdalenensis,,Especie,"(Eigenmann, 1913)",,es
gbif.org/species/2353172,gbif.org/species/2353172,Argopleura diquensis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Argopleura,diquensis,,Especie,"(Eigenmann, 1913)",,es
gbif.org/species/5204296,gbif.org/species/5204296,Astyanax bimaculatus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,bimaculatus,,Especie,"(Linnaeus, 1758)",,es
gbif.org/species/5204200,gbif.org/species/5204200,Astyanax fasciatus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,fasciatus,,Especie,"(Cuvier, 1819)",,es
gbif.org/species/5204256,gbif.org/species/5204256,Astyanax magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,magdalenae,,Especie,"Eigenmann & Henn, 1916",,es
gbif.org/species/2352827,gbif.org/species/2352827,Bryconamericus cismontanus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Bryconamericus,cismontanus,,Especie,"Eigenmann, 1914",,es
gbif.org/species/5204520,gbif.org/species/5204520,Charax metae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Charax,metae,,Especie,"Eigenmann, 1922",,es
gbif.org/species/2352683,gbif.org/species/2352683,Corynopoma riisei,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Corynopoma,riisei,,Especie,"Gill, 1858",,es
gbif.org/species/2353697,gbif.org/species/2353697,Creagrutus affinis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,affinis,,Especie,"Steindachner, 1880",,es
gbif.org/species/2353719,gbif.org/species/2353719,Creagrutus atratus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,atratus,,Especie,"Vari & Harold, 2001",,es
gbif.org/species/2353708,gbif.org/species/2353708,Creagrutus bolivari,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,bolivari,,Especie,"Schultz, 1944",,es
gbif.org/species/2353751,gbif.org/species/2353751,Creagrutus brevipinnis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,brevipinnis,,Especie,"Eigenmann, 1913",,es
gbif.org/species/2353748,gbif.org/species/2353748,Creagrutus calai,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,calai,,Especie,"Vari & Harold, 2001",,es
gbif.org/species/2353740,gbif.org/species/2353740,Creagrutus magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,magdalenae,,Especie,"Eigenmann, 1913",,es
gbif.org/species/2353705,gbif.org/species/2353705,Creagrutus taphorni,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Creagrutus,taphorni,,Especie,"Vari & Harold, 2001",,es
gbif.org/species/2354708,gbif.org/species/2354708,Cynopotamus magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Cynopotamus,magdalenae,,Especie,"(Steindachner, 1879)",,es
gbif.org/species/2353343,gbif.org/species/2353343,Gephyrocharax melanocheir,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Gephyrocharax,melanocheir,,Especie,"Eigenmann, 1912",,es
gbif.org/species/2354248,gbif.org/species/2354248,Grundulus bogotensis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Grundulus,bogotensis,,Especie,"Valenciennes, 1846",,es
gbif.org/species/2352664,gbif.org/species/2352664,Hemibrycon colombianus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,colombianus,,Especie,"Eigenmann, 1914",,es
gbif.org/species/2352655,gbif.org/species/2352655,Hemibrycon dentatus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,dentatus,,Especie,"(Eigenmann, 1913)",,es
gbif.org/species/2352657,gbif.org/species/2352657,Hemibrycon metae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,metae,,Especie,"Myers, 1930",,es
urn:lsid:zoobank.org:act:C88155EF-CD14-4D4A-BF47-7032CBE19537,urn:lsid:zoobank.org:act:C88155EF-CD14-4D4A-BF47-7032CBE19537,Hemibrycon plutarcoi,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,plutarcoi,,Especie,"(Román-Valencia, 2001)",,es
gbif.org/species/2352672,gbif.org/species/2352672,Hemibrycon velox,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,velox,,Especie,"Dahl, 1964",,es
urn:lsid:zoobank.org:act:D612E155-BE0B-4519-9004-4B4F959A1005,urn:lsid:zoobank.org:act:D612E155-BE0B-4519-9004-4B4F959A1005,Hemibrycon caucanus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,caucanus,,Especie,"(Eigenmann, 1913)",,es
urn:lsid:zoobank.org:act:BFDFA42E-313E-4FDD-9139-141C82D094DE,urn:lsid:zoobank.org:act:BFDFA42E-313E-4FDD-9139-141C82D094DE,Hemibrycon loisae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,loisae,,Especie,"(Géry, 1964)",,es
gbif.org/species/2352673,gbif.org/species/2352673,Hemibrycon tolimae,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemibrycon,tolimae,,Especie,"(Eigenmann, 1913)",,es
gbif.org/species/2354531,gbif.org/species/2354531,Hyphessobrycon proteus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,proteus,,Especie,"Eigenmann, 1913",,es
gbif.org/species/2353814,gbif.org/species/2353814,Knodus alpha,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Knodus,alpha,,Especie,"(Eigenmann, 1914)",,es
gbif.org/species/2354019,gbif.org/species/2354019,Paragoniates alburnus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Paragoniates,alburnus,,Especie,"Steindachner, 1876",,es
gbif.org/species/2354088,gbif.org/species/2354088,Roeboides dayi,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Roeboides,dayi,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2353299,gbif.org/species/2353299,Saccoderma hastata,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Saccoderma,hastata,,Especie,"(Eigenmann, 1913)",,es
gbif.org/species/2352382,gbif.org/species/2352382,Characidium caucanum,Animalia,Chordata,Actinopterygii,Characiformes,Crenuchidae,Characidium,caucanum,,Especie,"Eigenmann, 1912",,es
gbif.org/species/2352386,gbif.org/species/2352386,Characidium chupa,Animalia,Chordata,Actinopterygii,Characiformes,Crenuchidae,Characidium,chupa,,Especie,"Schultz, 1944",,es
gbif.org/species/2355989,gbif.org/species/2355989,Ctenolucius hujeta,Animalia,Chordata,Actinopterygii,Characiformes,Ctenoluciidae,Ctenolucius,hujeta,,Especie,"(Valenciennes, 1850)",,es
gbif.org/species/2354960,gbif.org/species/2354960,Curimata mivartii,Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,Curimata,mivartii,,Especie,"Steindachner, 1878",,es
gbif.org/species/2355105,gbif.org/species/2355105,Cyphocharax magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,Cyphocharax,magdalenae,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2355171,gbif.org/species/2355171,Steindachnerina guentheri,Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,Steindachnerina,guentheri,,Especie,"(Eigenmann & Eigenmann, 1889)",,es
gbif.org/species/2352230,gbif.org/species/2352230,Hoplias malabaricus,Animalia,Chordata,Actinopterygii,Characiformes,Erythrinidae,Hoplias,malabaricus,,Especie,"(Bloch, 1794)",,es
gbif.org/species/2355733,gbif.org/species/2355733,Gasteropelecus maculatus,Animalia,Chordata,Actinopterygii,Characiformes,Gasteropelecidae,Gasteropelecus,maculatus,,Especie,"Steindachner, 1879",,es
gbif.org/species/2352186,gbif.org/species/2352186,Prochilodus magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,magdalenae,,Especie,"Steindachner, 1879",,es
gbif.org/species/2352119,gbif.org/species/2352119,Ichthyoelephas longirostris,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Ichthyoelephas,longirostris,,Especie,"(Steindachner, 1879)",,es
gbif.org/species/2353250,gbif.org/species/2353250,Triportheus magdalenae,Animalia,Chordata,Actinopterygii,Characiformes,Triportheidae,Triportheus,magdalenae,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2371467,gbif.org/species/2371467,Caquetaia kraussii,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Caquetaia,kraussii,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2370949,gbif.org/species/2370949,Crenicichla geayi,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,geayi,,Especie,"Pellegrin, 1903",,es
gbif.org/species/5208440,gbif.org/species/5208440,Geophagus steindachneri,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Geophagus,steindachneri,,Especie,"Eigenmann & Hildebrand, 1922",,es
gbif.org/species/5203742,gbif.org/species/5203742,Poecilia caucana,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,caucana,,Especie,"(Steindachner, 1880)",,es
gbif.org/species/7193379,gbif.org/species/7193379,Cynodonichthys magdalenae,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynodonichthys,magdalenae,,Especie,"(Eigenmann & Henn, 1916)",,es
gbif.org/species/2401872,gbif.org/species/2401872,Apteronotus macrostomus,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,macrostomus,,Especie,"(Fowler, 1943)",,es
gbif.org/species/2401862,gbif.org/species/2401862,Apteronotus rostratus,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,rostratus,,Especie,"(Meek & Hildebrand, 1913)",,es
gbif.org/species/2401848,gbif.org/species/2401848,Sternarchorhynchus roseni,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,roseni,,Especie,"Mago-Leccia, 1994",,es
gbif.org/species/2402039,gbif.org/species/2402039,Eigenmannia virescens,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Eigenmannia,virescens,,Especie,"(Valenciennes, 1836)",,es
gbif.org/species/2402060,gbif.org/species/2402060,Sternopygus macrurus,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Sternopygus,macrurus,,Especie,"(Bloch & Schneider, 1801)",,es
gbif.org/species/2402066,gbif.org/species/2402066,Sternopygus aequilabiatus,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Sternopygus,aequilabiatus,,Especie,"(Humboldt, 1805)",,es
gbif.org/species/2340630,gbif.org/species/2340630,Bunocephalus colombianus,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,Bunocephalus,colombianus,,Especie,"Eigenmann, 1912",,es
gbif.org/species/2340523,gbif.org/species/2340523,Dupouyichthys sapito,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,Dupouyichthys,sapito,,Especie,"Schultz, 1944",,es
gbif.org/species/2340565,gbif.org/species/2340565,Xyliphius magdalenae,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,Xyliphius,magdalenae,,Especie,"Eigenmann, 1912",,es
gbif.org/species/2342079,gbif.org/species/2342079,Astroblepus homodon,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,homodon,,Especie,"(Regan, 1904)",,es
gbif.org/species/2342128,gbif.org/species/2342128,Astroblepus latidens,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,latidens,,Especie,"Eigenmann, 1918",,es
gbif.org/species/2342152,gbif.org/species/2342152,Astroblepus micrescens,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,micrescens,,Especie,"Eigenmann, 1918",,es
gbif.org/species/2342072,gbif.org/species/2342072,Astroblepus santanderensis,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,santanderensis,,Especie,"Eigenmann, 1918",,es
gbif.org/species/2344660,gbif.org/species/2344660,Trachelyopterus insignis,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Trachelyopterus,insignis,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2342754,gbif.org/species/2342754,Corydoras axelrodi,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,axelrodi,,Especie,"Rössel, 1962",,es
gbif.org/species/2338019,gbif.org/species/2338019,Cetopsis othonops,Animalia,Chordata,Actinopterygii,Siluriformes,Cetopsidae,Cetopsis,othonops,,Especie,"(Eigenmann, 1912)",,es
gbif.org/species/2343661,gbif.org/species/2343661,Cetopsorhamdia molinae,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Cetopsorhamdia,molinae,,Especie,"Miles, 1943",,es
gbif.org/species/2343658,gbif.org/species/2343658,Cetopsorhamdia orinoco,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Cetopsorhamdia,orinoco,,Especie,"Schultz, 1944",,es
gbif.org/species/2343659,gbif.org/species/2343659,Cetopsorhamdia nasus,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Cetopsorhamdia,nasus,,Especie,"Eigenmann & Fisher, 1916",,es
gbif.org/species/2343572,gbif.org/species/2343572,Imparfinis nemacheir,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Imparfinis,nemacheir,,Especie,"(Eigenmann & Fisher, 1916)",,es
gbif.org/species/2343431,gbif.org/species/2343431,Pimelodella chagresi,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,chagresi,,Especie,"(Steindachner, 1876)",,es
gbif.org/species/2343462,gbif.org/species/2343462,Pimelodella metae,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,metae,,Especie,"Eigenmann, 1917",,es
gbif.org/species/2343735,gbif.org/species/2343735,Rhamdia quelen,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,quelen,,Especie,"(Quoy & Gaimard, 1824)",,es
gbif.org/species/2343786,gbif.org/species/2343786,Rhamdia guatemalensis,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,guatemalensis,,Especie,"(Günther, 1864)",,es
gbif.org/species/5961428,gbif.org/species/5961428,Ancistrus triradiatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,triradiatus,,Especie,"Eigenmann, 1918",,es
gbif.org/species/5202387,gbif.org/species/5202387,Chaetostoma dorsale,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,dorsale,,Especie,"Eigenmann, 1922",,es
gbif.org/species/5202393,gbif.org/species/5202393,Chaetostoma fischeri,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,fischeri,,Especie,"Steindachner, 1879",,es
gbif.org/species/6167950,gbif.org/species/6167950,Chaetostoma formosae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,formosae,,Especie,"Ballen, 2011",,es
gbif.org/species/5202372,gbif.org/species/5202372,Chaetostoma leucomelas,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,leucomelas,,Especie,"Eigenmann, 1918",,es
gbif.org/species/5202361,gbif.org/species/5202361,Chaetostoma thomsoni,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,thomsoni,,Especie,"Regan, 1904",,es
gbif.org/species/2340244,gbif.org/species/2340244,Crossoloricaria variegata,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Crossoloricaria,variegata,,Especie,"(Steindachner, 1879)",,es
gbif.org/species/2340243,gbif.org/species/2340243,Crossoloricaria cephalaspis,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Crossoloricaria,cephalaspis,,Especie,"Isbrücker, 1979",,es
gbif.org/species/2339941,gbif.org/species/2339941,Dasyloricaria filamentosa,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dasyloricaria,filamentosa,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/9137933,gbif.org/species/9137933,Dasyloricaria paucisquama,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dasyloricaria,paucisquama,,Especie,"Londoño-Burbano & Reis, 2016",,es
gbif.org/species/2339336,gbif.org/species/2339336,Dolichancistrus carnegiei,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dolichancistrus,carnegiei,,Especie,"(Eigenmann, 1916)",,es
gbif.org/species/2339339,gbif.org/species/2339339,Dolichancistrus fuesslii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dolichancistrus,fuesslii,,Especie,"(Steindachner, 1911)",,es
gbif.org/species/2340437,gbif.org/species/2340437,Farlowella acus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Farlowella,acus,,Especie,"(Kner, 1853)",,es
gbif.org/species/2340407,gbif.org/species/2340407,Farlowella colombiensis,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Farlowella,colombiensis,,Especie,"Retzer & Page, 1997",,es
gbif.org/species/2340449,gbif.org/species/2340449,Farlowella vittata,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Farlowella,vittata,,Especie,"Myers, 1942",,es
gbif.org/species/5202255,gbif.org/species/5202255,Hypostomus plecostomoides,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,plecostomoides,,Especie,"(Eigenmann, 1922)",,es
gbif.org/species/5202142,gbif.org/species/5202142,Hypostomus hondae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,hondae,,Especie,"(Regan, 1912)",,es
gbif.org/species/7699656,gbif.org/species/7699656,Isorineloricaria tenuicauda,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Isorineloricaria,tenuicauda,,Especie,"(Steindachner, 1878)",,es
gbif.org/species/2339202,gbif.org/species/2339202,Lasiancistrus caucanus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,caucanus,,Especie,"Eigenmann, 1912",,es
gbif.org/species/2339528,gbif.org/species/2339528,Limatulichthys griseus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Limatulichthys,griseus,,Especie,"(Eigenmann, 1909)",,es
gbif.org/species/2339423,gbif.org/species/2339423,Panaqolus maccus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Panaqolus,maccus,,Especie,"(Schaefer & Stewart, 1993)",,es
gbif.org/species/2339053,gbif.org/species/2339053,Rineloricaria eigenmanni,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Rineloricaria,eigenmanni,,Especie,"(Pellegrin, 1908)",,es
gbif.org/species/2339091,gbif.org/species/2339091,Rineloricaria magdalenae,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Rineloricaria,magdalenae,,Especie,"(Steindachner, 1879)",,es
gbif.org/species/2340117,gbif.org/species/2340117,Spatuloricaria curvispina,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Spatuloricaria,curvispina,,Especie,"(Dahl, 1942)",,es
gbif.org/species/2340112,gbif.org/species/2340112,Spatuloricaria gymnogaster,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Spatuloricaria,gymnogaster,,Especie,"(Eigenmann & Vance, 1912)",,es
gbif.org/species/2339319,gbif.org/species/2339319,Sturisomatichthys leightoni,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Sturisomatichthys,leightoni,,Especie,"(Regan, 1912)",,es
gbif.org/species/9441586,gbif.org/species/9441586,Sturisomatichthys aureum,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Sturisomatichthys,aureum,,Especie,"(Steindachner, 1900)",,es
gbif.org/species/9487159,gbif.org/species/9487159,Sturisomatichthys panamensis,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Sturisomatichthys,panamensis,,Especie,"(Eigenmann & Eigenmann, 1889)",,es
gbif.org/species/2338918,gbif.org/species/2338918,Pimelodus grosskopfii,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pimelodus,grosskopfii,,Especie,"Steindachner, 1879",,es
gbif.org/species/2338659,gbif.org/species/2338659,Pseudoplatystoma magdaleniatum,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,magdaleniatum,,Especie,"Buitrago-Suárez & Burr, 2007",,es
gbif.org/species/2338683,gbif.org/species/2338683,Sorubim cuspicaudus,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Sorubim,cuspicaudus,,Especie,"Littmann, Burr & Nass, 2000",,es
gbif.org/species/2344132,gbif.org/species/2344132,Microglanis iheringi,Animalia,Chordata,Actinopterygii,Siluriformes,Pseudopimelodidae,Microglanis,iheringi,,Especie,"Gomes, 1946",,es
gbif.org/species/5202895,gbif.org/species/5202895,Eremophilus mutisii,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Eremophilus,mutisii,,Especie,"Humboldt, 1805",,es
gbif.org/species/2342889,gbif.org/species/2342889,Ochmacanthus alternus,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ochmacanthus,alternus,,Especie,"Myers, 1927",,es
gbif.org/species/2343316,gbif.org/species/2343316,Paravandellia phaneronema,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Paravandellia,phaneronema,,Especie,"(Miles, 1943)",,es
gbif.org/species/2343032,gbif.org/species/2343032,Trichomycterus banneaui,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,banneaui,,Especie,"(Eigenmann, 1912)",,es
gbif.org/species/2343210,gbif.org/species/2343210,Trichomycterus bogotensis,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,bogotensis,,Especie,"(Eigenmann, 1912)",,es
gbif.org/species/2343063,gbif.org/species/2343063,Trichomycterus latistriatus,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,latistriatus,,Especie,"(Eigenmann, 1917)",,es
gbif.org/species/2343199,gbif.org/species/2343199,Trichomycterus retropinnis,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,retropinnis,,Especie,"Regan, 1903",,es
gbif.org/species/2343043,gbif.org/species/2343043,Trichomycterus stellatus,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,stellatus,,Especie,"(Eigenmann, 1918)",,es
gbif.org/species/2426335,gbif.org/species/2426335,Allobates cepedai,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,cepedai,,Especie,"(Morales, 2000)",,es
gbif.org/species/2426319,gbif.org/species/2426319,Allobates juanii,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,juanii,,Especie,"(Morales, 1994)",,es
gbif.org/species/2426283,gbif.org/species/2426283,Allobates niputidea,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Allobates,niputidea,,Especie,"Grant, Acosta & Rada, 2007",,es
gbif.org/species/2426202,gbif.org/species/2426202,Rheobates palmatus,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Rheobates,palmatus,,Especie,"(Werner, 1899)",,es
gbif.org/species/2422265,gbif.org/species/2422265,Atelopus marinkellei,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,marinkellei,,Especie,"Cochran & Goin, 1970",,es
gbif.org/species/2423156,gbif.org/species/2423156,Rhaebo glaberrimus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,glaberrimus,,Especie,"(Günther, 1868)",,es
gbif.org/species/2423160,gbif.org/species/2423160,Rhaebo haematiticus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,haematiticus,,Especie,"(Cope, 1862)",,es
UPTC/especies/2422625,UPTC/especies/2422625,Rhinella horribilis,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,horribilis,,Especie,"(Wiegmann, 1833)",,es
gbif.org/species/8813908,gbif.org/species/8813908,Rhinella humboldti,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,humboldti,,Especie,"(Spix, 1824)",,es
gbif.org/species/5216969,gbif.org/species/5216969,Rhinella margaritifera,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,margaritifera,,Especie,"(Laurenti, 1768)",,es
gbif.org/species/5216863,gbif.org/species/5216863,Rhinella sternosignata,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,sternosignata,,Especie,"(Günther, 1859)",,es
gbif.org/species/2429486,gbif.org/species/2429486,Centrolene buckleyi,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,buckleyi,,Especie,"(Boulenger, 1882)",,es
gbif.org/species/2429449,gbif.org/species/2429449,Centrolene daidaleum,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,daidaleum,,Especie,"(Ruíz & Lynch, 1991)",,es
gbif.org/species/2429462,gbif.org/species/2429462,Centrolene geckoideum,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,geckoideum,,Especie,"Jiménez de la Espada, 1872",,es
gbif.org/species/2429466,gbif.org/species/2429466,Centrolene hybrida,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,hybrida,,Especie,"Ruiz-Carranza & Lynch, 1991",,es
gbif.org/species/2429459,gbif.org/species/2429459,Centrolene notostictum,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,notostictum,,Especie,"Ruiz & Lynch, 1991",,es
gbif.org/species/2429500,gbif.org/species/2429500,Centrolene petrophilum,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,petrophilum,,Especie,"Ruiz & Lynch, 1991",,es
gbif.org/species/8864382,gbif.org/species/8864382,Espadarana andina,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Espadarana,andina,,Especie,"(Rivero, 1968)",,es
gbif.org/species/2429306,gbif.org/species/2429306,Hyalinobatrachium colymbiphyllum,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Hyalinobatrachium,colymbiphyllum,,Especie,"(Taylor, 1949)",,es
gbif.org/species/2429328,gbif.org/species/2429328,Hyalinobatrachium esmeralda,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Hyalinobatrachium,esmeralda,,Especie,"Ruiz-Carranza & Lynch, 1998",,es
gbif.org/species/2429316,gbif.org/species/2429316,Hyalinobatrachium fleischmanni,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Hyalinobatrachium,fleischmanni,,Especie,"(Boettger, 1893)",,es
gbif.org/species/2429295,gbif.org/species/2429295,Hyalinobatrachium valerioi,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Hyalinobatrachium,valerioi,,Especie,"(Dunn, 1931)",,es
